"status","gene-symbol","gene-name","ensembl-id","chromosome","genetic-category","gene-score","syndromic","number-of-reports","gene_biotype","ID"
9,"BRSK2","BR serine/threonine kinase 2","ENSG00000174672","11","Rare Single Gene Mutation, Syndromic",1,0,4,"protein_coding","ENSG00000174672"
9,"BST1","bone marrow stromal cell antigen 1","ENSG00000109743","4","Genetic Association, Functional",3,0,5,"protein_coding","ENSG00000109743"
9,"BTAF1","RNA polymerase II, B-TFIID transcription factor-associated, 170kDa (Mot1 homolog, S. cerevisiae)","ENSG00000095564","10","Rare Single Gene Mutation",2,0,7,"protein_coding","ENSG00000095564"
9,"BTRC","beta-transducin repeat containing E3 ubiquitin protein ligase","ENSG00000166167","10","Rare Single Gene Mutation",3,0,2,"protein_coding","ENSG00000166167"
9,"C12orf57","Chromosome 12 open reading frame 57","ENSG00000111678","12","Rare Single Gene Mutation, Syndromic",NA,1,11,"protein_coding","ENSG00000111678"
9,"C12orf57","Chromosome 12 open reading frame 57","ENSG00000111678","12","Rare Single Gene Mutation, Syndromic",NA,1,11,"protein_coding","ENSG00000268123"
9,"C15orf62","chromosome 15 open reading frame 62","ENSG00000188277","15","Rare Single Gene Mutation",3,0,2,"protein_coding","ENSG00000188277"
9,"C4B","complement component 4B","ENSG00000203710","6","Rare Single Gene Mutation, Genetic Association, Functional",3,0,6,"protein_coding","ENSG00000236625"
9,"C4B","complement component 4B","ENSG00000203710","6","Rare Single Gene Mutation, Genetic Association, Functional",3,0,6,"protein_coding","ENSG00000224389"
9,"C4B","complement component 4B","ENSG00000203710","6","Rare Single Gene Mutation, Genetic Association, Functional",3,0,6,"protein_coding","ENSG00000228267"
9,"C4B","complement component 4B","ENSG00000203710","6","Rare Single Gene Mutation, Genetic Association, Functional",3,0,6,"protein_coding","ENSG00000228454"
9,"C4B","complement component 4B","ENSG00000203710","6","Rare Single Gene Mutation, Genetic Association, Functional",3,0,6,"lncRNA","ENSG00000224639"
9,"CA6","carbonic anhydrase VI","ENSG00000131686","1","Rare Single Gene Mutation",3,0,6,"protein_coding","ENSG00000131686"
9,"CACNA1A","Calcium channel, voltage-dependent, P/Q type, alpha 1A subunit","ENSG00000141837","19","Rare Single Gene Mutation, Genetic Association",NA,1,16,"protein_coding","ENSG00000141837"
9,"CACNA1B","calcium voltage-gated channel subunit alpha1 B","ENSG00000148408","9","Rare Single Gene Mutation, Syndromic, Genetic Association",3,0,9,"protein_coding","ENSG00000148408"
9,"CACNA1C","calcium channel, voltage-dependent, L type, alpha 1C subunit","ENSG00000151067","12","Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1,0,45,"protein_coding","ENSG00000151067"
9,"CACNA1C","calcium channel, voltage-dependent, L type, alpha 1C subunit","ENSG00000151067","12","Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1,0,45,"protein_coding","ENSG00000285479"
9,"CACNA1D","calcium channel, voltage-dependent, L type, alpha 1D","ENSG00000157388","3","Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",2,0,20,"protein_coding","ENSG00000157388"
9,"CACNA1E","calcium voltage-gated channel subunit alpha1 E","ENSG00000198216","1","Rare Single Gene Mutation",2,0,10,"protein_coding","ENSG00000198216"
9,"CACNA1F","calcium channel, voltage-dependent, alpha 1F","ENSG00000102001","X","Rare Single Gene Mutation, Genetic Association",3,0,7,"protein_coding","ENSG00000102001"
9,"CACNA1F","calcium channel, voltage-dependent, alpha 1F","ENSG00000102001","X","Rare Single Gene Mutation, Genetic Association",3,0,7,"protein_coding","ENSG00000269057"
9,"CACNA1G","calcium channel, voltage-dependent, T type, alpha 1G subunit","ENSG00000006283","17","Rare Single Gene Mutation, Syndromic, Genetic Association",3,0,20,"protein_coding","ENSG00000006283"
9,"CACNA1H","calcium channel, voltage-dependent, alpha 1H subunit","ENSG00000196557","16","Rare Single Gene Mutation",2,0,27,"protein_coding","ENSG00000196557"
9,"CACNA1I","Calcium channel, voltage-dependent, T type, alpha 1I subunit","ENSG00000100346","22","Rare Single Gene Mutation, Genetic Association",3,0,7,"protein_coding","ENSG00000100346"
9,"CACNA2D1","calcium voltage-gated channel auxiliary subunit alpha2delta 1","ENSG00000153956","7","Rare Single Gene Mutation",3,0,3,"protein_coding","ENSG00000153956"
9,"CACNA2D3","Calcium channel, voltage-dependent, alpha 2/delta subunit 3","ENSG00000157445","3","Rare Single Gene Mutation",2,0,6,"protein_coding","ENSG00000157445"
9,"CACNB2","Calcium channel, voltage-dependent, beta 2 subunit","ENSG00000165995","10","Rare Single Gene Mutation, Genetic Association",2,0,4,"protein_coding","ENSG00000165995"
9,"CADM1","cell adhesion molecule 1","ENSG00000182985","11","Rare Single Gene Mutation",3,0,9,"protein_coding","ENSG00000182985"
9,"CADPS","calcium dependent secretion activator","ENSG00000163618","3","Rare Single Gene Mutation, Genetic Association",3,0,3,"protein_coding","ENSG00000163618"
9,"CADPS2","Ca2+-dependent activator protein for secretion 2","ENSG00000081803","7","Rare Single Gene Mutation, Functional",3,0,12,"protein_coding","ENSG00000081803"
9,"CAMK2A","calcium/calmodulin dependent protein kinase II alpha","ENSG00000070808","5","Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",3,1,8,"protein_coding","ENSG00000070808"
9,"CAMK2B","calcium/calmodulin dependent protein kinase II beta","ENSG00000058404","7","Rare Single Gene Mutation, Syndromic",NA,1,5,"protein_coding","ENSG00000058404"
9,"CAPN12","Calpain 12","ENSG00000182472","19","Rare Single Gene Mutation",3,0,6,"protein_coding","ENSG00000182472"
9,"CAPRIN1","Cell cycle associated protein 1","ENSG00000135387","11","Rare Single Gene Mutation, Functional",2,0,4,"protein_coding","ENSG00000135387"
9,"CARD11","caspase recruitment domain family member 11","ENSG00000198286","7","Rare Single Gene Mutation",3,0,1,"protein_coding","ENSG00000198286"
9,"CASC4","cancer susceptibility candidate 4","ENSG00000166734","15","Rare Single Gene Mutation",3,0,4,"protein_coding","ENSG00000166734"
9,"CASK","calcium/calmodulin dependent serine protein kinase","ENSG00000147044","X","Rare Single Gene Mutation, Syndromic",1,0,15,"protein_coding","ENSG00000147044"
9,"CASZ1","castor zinc finger 1","ENSG00000130940","1","Rare Single Gene Mutation",2,0,4,"protein_coding","ENSG00000130940"
9,"CC2D1A","Coiled-coil and C2 domain containing 1A","ENSG00000132024","19","Rare Single Gene Mutation, Functional",2,0,12,"protein_coding","ENSG00000132024"
9,"CC2D1A","Coiled-coil and C2 domain containing 1A","ENSG00000132024","19","Rare Single Gene Mutation, Functional",2,0,12,"protein_coding","ENSG00000288293"
9,"CCDC88C","Coiled-coil domain containing 88C","ENSG00000015133","14","Rare Single Gene Mutation",3,0,6,"protein_coding","ENSG00000015133"
9,"CCDC91","coiled-coil domain containing 91","ENSG00000123106","12","Rare Single Gene Mutation",3,0,4,"protein_coding","ENSG00000123106"
9,"CCIN","calicin","ENSG00000185972","9","Rare Single Gene Mutation",3,0,2,"protein_coding","ENSG00000185972"
9,"CCNG1","cyclin G1","ENSG00000113328","5","Rare Single Gene Mutation",2,0,1,"protein_coding","ENSG00000113328"
9,"CCNK","cyclin K","ENSG00000090061","14","Rare Single Gene Mutation, Syndromic",NA,1,3,"protein_coding","ENSG00000090061"
9,"CCSER1","coiled-coil serine rich protein 1","ENSG00000184305","4","Rare Single Gene Mutation",3,0,2,"protein_coding","ENSG00000184305"
9,"CCT4","Chaperonin containing TCP1, subunit 4 (delta)","ENSG00000115484","2","Rare Single Gene Mutation",2,0,3,"protein_coding","ENSG00000115484"
9,"CD276","CD276molecule","ENSG00000103855","15","Rare Single Gene Mutation",3,0,2,"protein_coding","ENSG00000103855"
9,"CD38","CD38 molecule","ENSG00000004468","4","Rare Single Gene Mutation, Genetic Association, Functional",3,0,8,"protein_coding","ENSG00000004468"
9,"CDC42BPB","CDC42 binding protein kinase beta (DMPK-like)","ENSG00000198752","14","Rare Single Gene Mutation",2,0,7,"protein_coding","ENSG00000198752"
9,"CDH10","cadherin 10, type 2 (T2-cadherin)","ENSG00000040731","5","Rare Single Gene Mutation, Genetic Association",3,0,10,"protein_coding","ENSG00000040731"
9,"CDH11","cadherin 11","ENSG00000140937","16","Rare Single Gene Mutation",3,0,4,"protein_coding","ENSG00000140937"
9,"CDH13","cadherin 13","ENSG00000140945","16","Rare Single Gene Mutation",2,0,3,"protein_coding","ENSG00000140945"
9,"CDH8","cadherin 8, type 2","ENSG00000150394","16","Rare Single Gene Mutation",3,0,10,"protein_coding","ENSG00000150394"
9,"CDH9","cadherin 9, type 2 (T1-cadherin)","ENSG00000113100","5","Rare Single Gene Mutation, Genetic Association",3,0,7,"protein_coding","ENSG00000113100"
9,"CDK13","cyclin dependent kinase 13","ENSG00000065883","7","Rare Single Gene Mutation, Syndromic",NA,1,9,"protein_coding","ENSG00000065883"
9,"CDK8","cyclin dependent kinase 8","ENSG00000132964","13","Syndromic",NA,1,1,"protein_coding","ENSG00000132964"
9,"CDKL5","cyclin-dependent kinase-like 5","ENSG00000008086","X","Rare Single Gene Mutation, Syndromic",1,0,36,"protein_coding","ENSG00000008086"
9,"CECR2","CECR2, histone acetyl-lysine reader","ENSG00000099954","22","Rare Single Gene Mutation",3,0,2,"protein_coding","ENSG00000099954"
9,"CELF4","CUGBP, Elav-like family member 4","ENSG00000101489","18","Rare Single Gene Mutation, Functional",2,0,10,"protein_coding","ENSG00000101489"
9,"CELF6","CUGBP, Elav-like family member 6","ENSG00000140488","15","Rare Single Gene Mutation, Genetic Association",3,0,4,"protein_coding","ENSG00000140488"
9,"CEP135","centrosomal protein 135","ENSG00000174799","4","Rare Single Gene Mutation, Syndromic",2,0,6,"protein_coding","ENSG00000174799"
9,"CEP290","Centrosomal protein 290kDa","ENSG00000198707","12","Rare Single Gene Mutation, Syndromic",3,1,8,"protein_coding","ENSG00000198707"
9,"CEP41","testis specific, 14","ENSG00000106477","7","Rare Single Gene Mutation, Syndromic",2,0,5,"protein_coding","ENSG00000106477"
9,"CEP41","testis specific, 14","ENSG00000106477","7","Rare Single Gene Mutation, Syndromic",2,0,5,"protein_coding","ENSG00000265594"
9,"CGNL1","Cingulin-like 1","ENSG00000128849","15","Rare Single Gene Mutation",2,0,4,"protein_coding","ENSG00000128849"
9,"CHAMP1","chromosome alignment maintaining phosphoprotein 1","ENSG00000198824","13","Rare Single Gene Mutation, Syndromic",1,0,5,"protein_coding","ENSG00000198824"
9,"CHAMP1","chromosome alignment maintaining phosphoprotein 1","ENSG00000198824","13","Rare Single Gene Mutation, Syndromic",1,0,5,"protein_coding","ENSG00000260117"
9,"CHD1","chromodomain helicase DNA binding protein 1","ENSG00000153922","5","Rare Single Gene Mutation",3,1,4,"protein_coding","ENSG00000153922"
9,"CHD2","Chromodomain helicase DNA binding protein 2","ENSG00000173575","15","Rare Single Gene Mutation, Syndromic",1,0,36,"protein_coding","ENSG00000173575"
9,"CHD3","chromodomain helicase DNA binding protein 3","ENSG00000170004","17","Rare Single Gene Mutation, Syndromic",1,0,6,"protein_coding","ENSG00000170004"
9,"CHD7","chromodomain helicase DNA binding protein 7","ENSG00000171316","8","Rare Single Gene Mutation, Syndromic",1,0,28,"protein_coding","ENSG00000171316"
9,"CHD8","chromodomain helicase DNA binding protein 8","ENSG00000100888","14","Rare Single Gene Mutation, Syndromic, Functional",1,0,49,"protein_coding","ENSG00000100888"
9,"CHKB","Choline kinase beta","ENSG00000100288","22","Rare Single Gene Mutation, Syndromic",NA,1,4,"protein_coding","ENSG00000100288"
9,"CHMP1A","charged multivesicular body protein 1A","ENSG00000131165","16","Rare Single Gene Mutation, Syndromic",2,0,5,"protein_coding","ENSG00000131165"
9,"CHRM3","cholinergic receptor muscarinic 3","ENSG00000133019","1","Rare Single Gene Mutation, Genetic Association",3,0,6,"protein_coding","ENSG00000133019"
9,"CHRNA7","cholinergic receptor, nicotinic, alpha 7","ENSG00000166664","15","Rare Single Gene Mutation",2,0,13,"protein_coding","ENSG00000175344"
9,"CHRNB3","cholinergic receptor nicotinic beta 3 subunit","ENSG00000147432","8","Rare Single Gene Mutation",3,0,3,"protein_coding","ENSG00000147432"
9,"CIB2","Calcium and integrin binding family member 2","ENSG00000136425","15","Rare Single Gene Mutation",2,0,1,"protein_coding","ENSG00000136425"
9,"CIC","capicua transcriptional repressor","ENSG00000079432","19","Rare Single Gene Mutation, Functional",1,0,5,"protein_coding","ENSG00000079432"
9,"CLASP1","cytoplasmic linker associated protein 1","ENSG00000074054","2","Rare Single Gene Mutation",2,0,3,"protein_coding","ENSG00000074054"
9,"CLN8","Ceroid-lipofuscinosis, neuronal 8 (epilepsy, progressive with mental retardation)","ENSG00000182372","8","Rare Single Gene Mutation, Syndromic",3,0,3,"protein_coding","ENSG00000182372"
9,"CLN8","Ceroid-lipofuscinosis, neuronal 8 (epilepsy, progressive with mental retardation)","ENSG00000182372","8","Rare Single Gene Mutation, Syndromic",3,0,3,"protein_coding","ENSG00000278220"
9,"CLTCL1","clathrin, heavy chain-like 1","ENSG00000070371","22","Rare Single Gene Mutation",3,0,6,"protein_coding","ENSG00000070371"
